目录

上 篇

拌炝溜卤酱
奶汤醋夹鱼 189
面包琏鼓鱼 190
芝麻鱼片 190
清蒸桂鱼 190
锅烧富贵鱼 190

番茄面包鱼片 190
番茄炒鱼片 191
炸银鱼 191
鸡蛋煎银鱼 191
炸焖银鱼 191
锅塌银鱼 191
糟焖银鱼 191
红烧银鱼 192
清汤银鱼 192
烩银鱼 192
雪里银鱼 192
炸烹银鱼 192
酱炒尾鱼 192
酱包鱼片 192
炸鱼块 193
大烧鱼 193
五香熏鱼 193
油焖鱼 193
酥锅鱼 193
鱼丸子 194
绣球鱼丸 194
浮油鱼片 194
芙蓉鱼片 194
软炸鱼 194
清爆鲜鱿鱼花 194
清汤西施舌 195
软炸仙仁 195
煎仙仁 195
油爆鲜乌鱼花 195
游蒸蜊鱼 195
黄焖甲鱼 195
炒边黄 196
红烧甲鱼 196
清炖甲鱼鸭块 196
甲鱼三下锅 196
清杂甲鱼 196
甲鱼肉拌黄瓜 197
炸虾仁 197
炒虾仁 197
烩虾仁 197
炸焖虾仁 197
炸烹虾仁 197

爆小虾 198
炸凤尾虾 198
番茄凤尾虾 198
松子凤尾虾 198
炸板虾 198
炸龙头凤尾虾 198
橄榄虾仁 199
油爆虾仁 199
面包虾仁 199
清炒虾仁 199
芙蓉虾仁 199
红烧龙虾 199
清汤虾仁 200
护板大虾 200
纸包虾 200
锅贴虾 200
虾仁吐丝 200
大虾炒肉片 201
大虾炒鸡蛋 201
炸虾段 201
软炸大虾 201
醋烹虾段 201
扒大虾 201
炸虾筐 202
醋烧虾筐 202
炸大虾鸡蛋卷 202
炸虾球 202
煎虾饼 202
干炸白虾 203
清虾丸子 203
奶油大虾 203
糖醋虾排 203
雪里虾仁 203
龙井虾仁 203
炸虾盒 204
金钱虾饼 204
清爆虾仁 204
大虾烧油菜 204
抓炒虾仁 204
大虾炒椿头 204
麻花芝麻大虾 205
金钱大虾 205

口蘑清烩虾片 205
清汤虾片 205
鸡蛋杂大虾 205
大虾鱼腐 205
大虾鸡蛋脑 206
大虾豆腐脑 206
大虾烧鲜笋 206
炒三鲜 206
大虾烧肥肠 206
大虾炒腰穗 206
鸡裂虾饼 207
番茄鸡裂虾饼 207
清蒸虾饺 207
网油虾卷 207
糟炒大虾 207
糟煎大虾 208
糖酱虾筐 208
椿头大虾丸 208
酱汁大虾 208
胡辣大虾 208
鸡茸大虾 208
酱包虾片 209
焖蟹黄 209
炒全蟹 209
炸蟹球 209
泊炒蟹球 209
炸蟹盖 209
炸焖蟹丸 209
炸蟹托 210
蟹黄烧油菜 210
炒螃蟹 210
炸焖螃蟹卷 210
锅塌蟹肉 210
鸡汤螃蟹 211
椿头蟹丸 211
百荷螃蟹 211
红烧蟹肉 211
红烧螃蟹 211
螃蟹烧肉片 211
芙蓉螃蟹 212
螃蟹酿豆腐 212
清汤大角 212

螃蟹炒春笋 212
糟焖大角 212
网油扒螃蟹 212
网油板蟹 213
炒河蟹 213
河蟹炒鸡蛋 213
河蟹软炒鸡蛋 213
炸焖河蟹卷 213
炸蟹肉 213
炸河蟹肉丸 214
芙蓉河蟹 214
炸烹河蟹 214
炸烹河蟹段 214
蟹黄烧蹄筋 214
蟹肉冬菇盒 214
白扒河蟹卷 215
麻辣河蟹 215
蒸蟹盒 215
酱包河蟹 215
清汤蟹腐 215
炸蟹塔 216

工菜 烟味类

鱼翅的发制法 217
扒鱼翅 217
红烧鱼翅 217
鸡汤鱼翅 217
芙蓉鱼翅 217
鸡茸鱼翅 218
鸡丝炒鱼翅 218
炸鸡丝烧鱼翅 218
桂花鱼翅 218
三丝烧鱼翅 218
青虾鱼翅 219
河蟹鱼翅 219
鸡腿扒鱼翅 219
鱼肚烧鱼翅 219
黄焖鱼翅 219
口蘑油菜烧鱼翅 220
大葱鸡腿烧鱼翅 220
奶油鱼翅 220

糟汁鱼翅 220
三鲜鱼翅 220
口蘑白菜烧鱼翅 221
瓜尖烧鱼翅 221
砂锅鱼翅 221
鸡包鱼翅 221
海参的发制法 222
红烧海参 222
清汤海参 222
烩海参 222
青虾海参 222
蟹黄烧海参 222
扒海参 223
虾菌海 223
白扒海参 223
大葱鸡腿烩海参 223
蹄爪烧海参 223
蝴蝶海参 223
金钱海参 224
绣球海参 224
芙蓉海鲍 224
清汤海参二鲜 224
胡辣海参 224
龙眼海参 224
虾子烧海参 225
虾子烧海参鱼肚 225
扒鸡腿海参 225
海参抱蛋 225
连环海参 225
